Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0sf46dgA1e5uPj0uzwKCVn,"A Oscuras","A Oscuras","Ptazeta,Lali",2024-01-18,159935,32,jlx91,2024-01-25T16:22:50Z,"","Interscope Records",0.784,0.721,11,-7.219,0,0.0744,0.341,0.000328,0.113,0.344,122.078,4
13HN0DycsGQHFvfdzgcdMQ,"Bruce Wayne","Gargoleo","EL IMA,Kaydy Cain,Yassir",2023-12-08,219574,6,jlx91,2023-12-13T02:25:12Z,"neoperreo,jersey club","Tropicanarian Records",0.774,0.807,1,-3.513,1,0.0928,0.04,0.000148,0.129,0.621,94.014,4
5QY9gstaP4BtvjQr1KGx6R,"Navaja","Siento Tanto","San Tosielo,ABHIR",2023-09-21,170186,0,jlx91,2024-03-22T02:14:51Z,"","Santosielosientotanto",0.688,0.79,9,-8.908,0,0.0775,0.361,0,0.574,0.561,154.938,4
7BknUcFEbr1uv1wBfOrrbv,"BESO EN LA MAÑANA","BESO EN LA MAÑANA","Dellacruz",2023-12-14,171806,23,jlx91,2023-12-18T00:30:14Z,"flamenco pop","Universal Music Spain S.L.",0.607,0.866,11,-3.573,1,0.0785,0.038,0,0.114,0.583,123.985,4
0p5tUiGgBqXlvuRsVRqR8M,"Probé","Probé","Kilian Viera",2023-11-24,134918,2,jlx91,2023-11-24T19:01:47Z,"","Origen Music Ent.",0.499,0.703,6,-4.854,0,0.0404,0.0447,0.00486,0.284,0.234,123.857,4
52UOUwTu1hNP3noOXZBGpd,"El Rosario","El Rosario","Wos LasPalmas,Flor Sz,Yanez",2023-11-24,162659,6,jlx91,2023-11-24T19:08:25Z,"","Wos Las Palmas",0.687,0.657,6,-6.523,1,0.277,0.54,0,0.138,0.469,90,4
556qYTtZx4tHgNvVMIHQGC,"Un Beso","TFN-MAD","Sara Socas,Accion Sanchez",2023-11-24,162461,24,jlx91,2023-11-24T18:40:12Z,"","Sara Socas distributed by Altafonte",0.859,0.687,9,-4.545,0,0.0341,0.46,0,0.0846,0.894,129.927,4
3WQhuJnlOTV9RiDZx2tDFF,"QUIZÁS SI QUIZÁS NO","QUIZÁS SI QUIZÁS NO","Alvaro Diaz,Quevedo",2023-11-24,203213,55,jlx91,2023-11-24T19:03:44Z,"reggaeton","UMG Recordings, Inc./Universal Music Latino",0.654,0.767,5,-5.061,0,0.048,0.0556,0.00118,0.305,0.615,173.933,4
3bY1Jw0zW7EKzmMCJ2Ci4b,"Karma","Karma","Última Llave,Dellacruz",2023-11-24,172285,1,jlx91,2023-11-24T18:59:39Z,"flamenco pop","M2 Music Group",0.657,0.876,1,-4.825,1,0.0357,0.127,0.00000178,0.0875,0.576,140.052,4
4Ez2AsBxq5Mw01zo4dq9PR,"Ay Ay Ay","Ay Ay Ay","Juacko,lau",2023-11-09,136177,11,jlx91,2023-11-11T16:52:08Z,"","Real Key Music",0.95,0.536,10,-6.134,0,0.0973,0.0448,0.00000364,0.0762,0.656,120.018,4
45L1NNUsmgvIbwi35DDHn0,"FULL EQUIP","FULL EQUIP","BEJO,Kabasaki",2023-11-02,89032,34,jlx91,2023-11-08T23:57:22Z,"neoperreo","8=D",0.898,0.641,11,-7.893,0,0.151,0.209,0.000254,0.327,0.64,124.23,4
67gsCMp4LRQAq9Bd3KYm2x,"No es lo que toca","No es lo que toca","st. Pedro",2023-10-26,152342,22,jlx91,2023-11-14T01:13:56Z,"latin r&b","Interscope Records",0.838,0.573,2,-7.396,1,0.0427,0.166,0,0.099,0.799,110.07,4
5avBTSSq8umEAj7q6ONACv,"Loka","Loka","Chanel,Maikel Delacalle",2023-11-03,181997,33,jlx91,2023-11-08T23:20:00Z,"bachata,trap latino,latin r&b","Sony Music Entertainment",0.766,0.755,1,-4.835,1,0.041,0.00418,0.00762,0.67,0.747,120.039,4
2CTQesi0dM5UIH47eaRXME,"All In","All In","Juseph,La Pantera,Bdp Music",2023-10-19,178810,1,jlx91,2023-10-20T08:20:06Z,"","Juseph",0.675,0.589,9,-9.575,0,0.254,0.0503,0,0.0851,0.613,156.033,4
79s2n0evTdub5GPj7noqfK,"LUGARES QUE LLEGO","EL AFTER DEL AFTER","YSY A,Quevedo,ONIRIA",2023-11-11,225920,65,jlx91,2023-11-22T01:19:05Z,"argentine trap,trap,reggaeton","Ysy A",0.724,0.9,11,-3.801,1,0.0596,0.266,0,0.185,0.724,125.966,4
2gHJSndwPUDaV6SQFf2Q04,"Spanish","Spanish","Sara Socas,Accion Sanchez",2023-11-10,174000,12,jlx91,2023-11-11T16:48:27Z,"","Sara Socas distributed by Altafonte",0.855,0.583,1,-7.476,0,0.473,0.236,0,0.0727,0.676,80.012,4
3Yw6KJjm8ycybvl6UdW9dq,"GANGSTER (PQFNEDG)","GANGSTER (PQFNEDG)","Ovy On The Drums,Quevedo,Yandel",2023-10-19,215470,50,jlx91,2023-10-20T08:03:15Z,"reggaeton,urbano latino,latin","WEA Latina",0.627,0.828,9,-3.586,0,0.124,0.222,0,0.109,0.712,176.08,4
